名称,営業日,住所,アクセス
焼肉 やまと 高松,月～水、金、祝前日: 11:00～13:30 （料理L.O. 13:00 ドリンクL.O. 13:00）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日、祝日: 17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市太田上町494－11
にわ とりのすけ 西宮北口店,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,兵庫県西宮市高松町10-3　美津馬ビル1F
天下一品 高松西インター店,火～日、祝日、祝前日: 10:00～23:00 （料理L.O. 22:45 ドリンクL.O. 22:45）,香川県高松市成合町1158-4
原始焼き おさ和風゛,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,香川県高松市鍛冶屋町4-11フェスタビル2  3F
山鳥 やまちょう 屋島店,月～金、祝前日: 11:00～15:0017:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市屋島西町1927-1
焼肉 なかむら 屋島店,月、火、木～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,香川県高松市屋島西町2484-4
ふぁみりー居酒屋 だんらん,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市木太町３６２８ー１
個室 藁焼き 日本酒処 龍馬 高松瓦町店,月、火、木～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,香川県高松市今新町1-14　3Ｆ
かくれんぼ,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,香川県高松市多肥下町１５６８-1
九州料理 弁慶 高松瓦町店,月、水～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,香川県高松市丸亀町12-7
雅流酒房 みるぽわ,月～金、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市古馬場町７－２１　AKビル１階
カラオケ クラブダム CLUB DAM 高松駅前店,月～木: 18:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 翌0:00）金、祝前日: 18:00～翌3:00 （料理L.O. 翌1:30 ドリンクL.O. 翌2:00）土: 13:00～翌3:00 （料理L.O. 翌1:30 ドリンクL.O. 翌2:00）日、祝日: 12:00～翌0:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市西の丸町13-7　酔灯屋駅前ビル4F
高知家,月～土、祝日、祝前日: 11:30～13:30 （料理L.O. 13:00 ドリンクL.O. 13:00）17:00～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市古新町9-1　リーガゼスト高松1階東側
足袋のTOBICHI,月、火、木～日、祝日、祝前日: 18:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,香川県高松市多肥下町1551-3
海鮮居酒屋 雛ちゃん,月、火、木、金、祝前日: 11:30～14:0017:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市高松町481-1
西ノ丸大衆酒房 丸ノ屋,月～日、祝日、祝前日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,香川県高松市西の丸町２－２２　西の丸ビル3Ｆ
イタリアン ビストロ ヒライ,月～土、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）日、祝日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市丸亀町６－６
寿司割烹 ゆば膳 一宮本店,月～日、祝日、祝前日: 11:30～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）18:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市一宮町1628－2
瀬戸内フレンチ Aura,月、木～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:30～20:30 （料理L.O. 19:00 ドリンクL.O. 19:00）,香川県高松市北浜町3-2
THE CHELSEA ザ・チェルシー,月～日、祝日、祝前日: 10:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市香川町川東下1878
五色,月～日、祝日、祝前日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）,香川県高松市瓦町２‐1-4　カーラビル１F
瀬戸内海鮮料理 舟忠,月～日、祝日、祝前日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市浜ノ町1-3　JRクレメントイン高松1階
TRATTORIA Tino トラットリア ティノ,月～水、金～日、祝日、祝前日: 11:30～14:3017:30～21:30 （料理L.O. 21:00 ドリンクL.O. 20:00）,香川県高松市御厩町1499-2
ぴこぴこ精肉店 サンフラワー通り,火～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市伏石町2137-2
○八ホルモン 居酒屋3号店,月～木、日、祝日: 17:30～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）金、土、祝前日: 17:30～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,宮崎県宮崎市高松町3-18
ゴーゴーカレー 屋島店,月～日、祝日、祝前日: 10:55～21:55 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市屋島西町２０２８－４
和牛七厘炭火焼肉 くいだおれ,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,香川県高松市多肥下町1548-25
宴座,月～金: 11:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市円座町５７２－１
うまか房 国分寺店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市国分寺町新居397－3
窯焼きバーグ五十八,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,香川県高松市仏生山町甲884‐2
焼肉 なかむら 本店,月、火、木～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市香川町大野444-14
テアトル ル ボア,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 15:00）17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,兵庫県西宮市高松町2-22　兵庫県立芸術文化センター内
双六 高松,火～日、祝日、祝前日: 17:30～23:00 （料理L.O. 22:00）,香川県高松市茜町１０－２
BBQ焼肉ビアホール AGORA,火～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市鍛冶屋町4-1　フェスタ２ビル
酒と料理のなつ,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 17:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）日、祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市瓦町１－４－１０
THE MILESTONE ザ マイルストーン,月～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00）17:30～22:00 （料理L.O. 21:00）,香川県高松市香川町川東下1878
厨 日向屋,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:50 ドリンクL.O. 22:50）,宮崎県宮崎市高松町３‐３０サカモトブライトビルB１
焼肉バカ一代 高松店,月～土、祝日、祝前日: 17:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,香川県高松市鍛冶屋町スミスビルB1F
個室 肉割烹 牛若丸 高松瓦町店,月、火、木～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,香川県高松市今新町1-14
RestaurantBar 軽軽 karokaro カロカロ,月～日、祝日、祝前日: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市瓦町２-8-54 （3F）
LIBERCO リベルコ 高松瓦町店,月、水～金、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）日、祝日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,香川県高松市瓦町２　10-10 岡ビル1F
Sanuki Wa-Fu Dining 真 SIN,月～金、祝前日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,香川県高松市西の丸町２－２２　西の丸ビル１・２Ｆ
おぐり屋,月～土、祝日、祝前日: 18:00～翌0:30 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,香川県高松市古馬場町7-26
大衆酒場 だるま木太店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,香川県高松市木太町1658-2
和栗モンブラン専門店 栗歩 高松店,月、水～日、祝日、祝前日: 11:00～18:00 （料理L.O. 17:00 ドリンクL.O. 17:00）,香川県高松市南新町4-8
そば酒房 緒川,月～土、祝日、祝前日: 17:30～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市磨屋町10-5
Global kitchen Aries アリエス,月～土、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00）17:30～20:30 （料理L.O. 20:00）,香川県高松市南新町11-3
個室 食べ飲み放題 華しずく 宮崎店,月、火、木～日、祝日、祝前日: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,宮崎県宮崎市高松町３‐２６ヒビキビル3F
寿し処 高松,月、火、木～日、祝日、祝前日: 11:30～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）,福岡県北九州市小倉南区山手２－１９－１０
KAJI PLA DINING,月～土、祝日、祝前日: 11:00～14:0017:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市鍛冶屋町4-1フェスタ２ビル２F
